base_feature,importance
membership_category,0.37444645
dissatisfied_feedback_flag,0.1991159
feedback,0.18283637
points_in_wallet,0.051608134
points_missing_flag,0.018769905
complaint_status,0.012884339
visit_time_segment,0.012245045
spend_segment,0.012131088
customer_tenure_bucket,0.010815604
avg_transaction_value,0.009685408
engagement_segment,0.0092903795
medium_of_operation,0.009158942
region_category,0.009122874
preferred_offer_types,0.008817774
joined_through_referral,0.006882947
internet_option,0.0066625397
gender,0.006625032
past_complaint,0.0047307312
offer_application_preference,0.004192765
used_special_discount,0.004055315
high_value_customer_flag,0.0037716879
points_per_transaction,0.0033382634
wallet_to_spend_ratio,0.0030488546
avg_frequency_login_days,0.0028662686
value_per_login,0.0025804765
has_referral,0.0025309795
unresolved_complaint_flag,0.002423316
visit_hour,0.0023763615
membership_days,0.0023698001
age,0.002354659
engagement_intensity,0.002352137
days_since_last_login,0.002318246
joining_year,0.0023114025
avg_time_spent,0.0022949432
complaint_flag,0.0022719107
joining_weekday,0.0022484164
low_activity_flag,0.0022340447
joining_month,0.0022306812
